"Date","Price","Open","High","Low","Vol.","Change %"
"07/31/2016","7,983.15","8,029.22","8,029.22","7,983.10","86.66M","-0.59%"
"07/28/2016","8,030.85","7,912.92","8,031.49","7,885.60","168.14M","1.47%"
"07/27/2016","7,914.74","7,734.27","7,918.70","7,734.27","344.39M","4.97%"
"07/26/2016","7,539.99","7,517.94","7,608.40","7,517.94","226.37M","0.30%"
"07/25/2016","7,517.78","7,463.72","7,520.86","7,452.15","112.02M","0.72%"
"07/24/2016","7,463.72","7,437.15","7,485.20","7,437.15","67.17M","0.36%"
"07/21/2016","7,436.87","7,498.29","7,498.29","7,432.64","116.31M","-0.89%"
"07/20/2016","7,503.36","7,596.96","7,599.53","7,502.48","162.41M","-1.23%"
"07/19/2016","7,596.96","7,627.63","7,627.63","7,578.30","138.91M","-0.42%"
"07/18/2016","7,628.64","7,614.74","7,709.36","7,614.74","175.84M","0.38%"
"07/17/2016","7,599.64","7,582.42","7,599.64","7,556.00","166.01M","0.22%"
"07/14/2016","7,583.06","7,559.04","7,587.79","7,527.59","131.24M","0.31%"
"07/13/2016","7,559.87","7,462.56","7,603.79","7,462.56","158.13M","1.37%"
"07/12/2016","7,457.50","7,506.18","7,506.18","7,370.38","197.81M","-0.65%"
"07/11/2016","7,506.18","7,580.48","7,645.95","7,506.18","290.00M","-0.15%"
"07/10/2016","7,517.43","7,303.41","7,517.43","7,303.18","292.88M","4.66%"
"07/04/2016","7,182.80","6,981.72","7,182.80","6,981.72","160.37M","2.88%"
"07/03/2016","6,981.72","6,944.20","6,981.72","6,944.20","93.84M","0.56%"
"06/29/2016","6,942.52","6,936.63","6,991.36","6,936.63","113.47M","0.15%"
"06/28/2016","6,931.94","6,903.81","6,936.84","6,899.46","83.92M","0.41%"
"06/27/2016","6,903.81","6,854.16","6,977.47","6,854.16","118.37M","0.76%"
"06/26/2016","6,851.61","6,962.26","6,962.26","6,831.59","175.91M","-5.54%"
"06/23/2016","7,253.31","7,155.04","7,254.43","7,154.65","88.00M","1.35%"
